#### Args: [-M Quality --base . --name quality_rand_points --pin ../ConformalLabData/convergence/regular01.obj --tre 0.5 --tim 0.866025403784437 --num 10000 --extra 750 --extrarand --nopt 150 --noptrand] ####
#### Series class: class de.varylab.discreteconformal.convergence.ConvergenceQuality ####
#### Error output file ./quality_rand_points.dat ####
#### Vertex data from ../ConformalLabData/convergence/regular01.obj ####
#### Branch indices: [0, 1, 2, 3] ####
#### Expected tau: (0.49999999999999856+0.8660254037844395i) ####
#### Measure exponent: 1.0 ####
#### index[1]	numVertices[2]	distErr[3]	absErr[4]	argErr[5]	reErr[6]	imErr[7]	re[8]	im[9]	MaxCrossRatio[10]	MeanCrossRatio[11]	SumCrossRatio[12]	MaxMultiRatio[13]	MeanMultiRatio[14]	SumMultiRatio[15]	MaxCircleRadius[16]	MeanCircleRadius[17]	SumCircleRadius[18] ####
0	1190	0.0010734545745119963	9.144277988151206E-4	5.619944144050759E-4	-3.0011599566392988E-5	0.0010730349609552325	0.49996998840043216	0.8670984387453947	0.2547813164219275	0.027032180350455307	64.33658923408363	0.49824300412122047	0.02015582123055165	47.97085452871293	0.057776877074210316	0.01789762352682828	42.596343993851306
1	594	0.001575994258887315	9.744259401494038E-4	0.0012380462945353887	-5.863946204446302E-4	0.001462839448866271	0.4994136053795539	0.8674882432333058	0.732046358859469	0.09136590396230702	108.54269390722075	1.057106695879149	0.09317666765488486	110.69388117400321	0.08988122665413989	0.027185340318470162	32.29618429834255
2	610	8.278292985115376E-4	1.642554974392585E-4	8.113035190207007E-4	-6.207616196772237E-4	5.476827174649701E-4	0.49937923838032133	0.8665730865019045	0.22471831256601837	0.029284888867824637	35.727564418746056	0.3843473222392817	0.021684421933032105	26.45499475829917	0.07508828084613092	0.025293024279078917	30.85748962047628
3	1420	0.0013644610794559147	0.0011218713156828652	7.76197726346517E-4	-1.1217614335162773E-4	0.0013598421048830467	0.49988782385664693	0.8673852458893225	0.3758872945994143	0.060596501308621244	172.09406371648433	0.5654027962735027	0.060580983800362954	172.0499939930308	0.06035869706795297	0.016936796618536223	48.100502396642874
4	1202	0.005130855651550809	0.0010320050193748376	0.005023410811944906	-0.0038451853488256083	0.0033970913073139153	0.49615481465117295	0.8694224950917534	0.8090329972570054	0.09561686201791066	229.86293629105722	1.0333205601411977	0.08799298446474965	211.53513465325815	0.08281899088170759	0.018816974434287863	45.23600654002802
5	538	0.0015240446169835437	0.001160940205775951	9.868127428349638E-4	-2.7537053997350736E-4	0.0014989606600145366	0.49972462946002505	0.867524364444454	0.22637351081410673	0.03243351731626157	34.89846463229745	0.2754301386790736	0.024230320322105287	26.07182466658529	0.08245214948025152	0.027136931810304	29.199338627887105
6	1440	9.06284949392408E-4	3.87669018521386E-4	8.190269401679995E-4	-5.159062871755715E-4	7.451128185368416E-4	0.499484093712823	0.8667705166029763	0.23650507049460456	0.028698508193274463	82.65170359663045	0.4037586756789797	0.023465589450490897	67.58089761741378	0.06134846687263616	0.016310869543364713	46.97530428489037
7	598	0.0011251515243922555	7.641367045951863E-4	8.255545398778708E-4	-3.335996058920765E-4	0.0010745590983239905	0.4996664003941065	0.8670999628827635	0.20662835010394942	0.03836506520398237	45.88461798396291	0.5455302560909006	0.0327150902815061	39.127247976681296	0.07393518891412292	0.02603483451889086	31.13766208459347
8	834	0.003097626315834369	0.001009527429275403	0.0029270292377581164	-0.0020348174080023207	0.002335552805791452	0.49796518259199624	0.8683609565902309	0.6522369908958863	0.08603795526511794	143.51130938221672	0.963185860144679	0.07598377042768542	126.74092907337929	0.07235084598295814	0.02260432060418003	37.70400676777229
9	1178	0.002393626309825245	8.182913954291049E-4	0.002248490869461106	-0.0015409612529049266	0.0018316346055186061	0.49845903874709363	0.8678570383899581	14.499491948970785	0.5842801599948289	1376.5640569478169	22.558626817291298	0.6175110006934255	1454.8559176337103	0.1366469227471228	0.02119276087063051	49.930144611205485
10	1024	0.0022341546257364907	0.0011156721188363417	0.0019345667025600921	-0.001120352663884716	0.0019329399370456857	0.49887964733611384	0.8679583437214852	0.5897782446234139	0.07322851969748631	149.97200834045196	0.7374166296552727	0.06972519622228923	142.79720186324835	0.069239281568786	0.020094950623908557	41.154458877764725
