#### Args: [-M Quality --base . --name qualityComparisonFine --pin ../ConformalLabData/convergence/regular01.obj --tre 0.5 --tim 0.866025403784437 --num 10000 --extra 200 --nopt 150 --noptrand] ####
#### Series class: class de.varylab.discreteconformal.convergence.ConvergenceQuality ####
#### Error output file ./qualityComparisonFine.dat ####
#### Vertex data from ../ConformalLabData/convergence/regular01.obj ####
#### Branch indices: [0, 1, 2, 3] ####
#### Expected tau: (0.49999999999999856+0.8660254037844395i) ####
#### Measure exponent: 1.0 ####
#### index[1]	distErr[2]	absErr[3]	argErr[4]	reErr[5]	imErr[6]	re[7]	im[8]	MaxCrossRatio	MeanCrossRatio	SumCrossRatio	MaxMultiRatio	MeanMultiRatio	SumMultiRatio	MaxCircleRadius	MeanCircleRadius	SumCircleRadius ####
0	0.0029995722369063516	0.0025019485293178434	0.001652529976920336	-1.8442306561633481E-4	0.0029938974159593457	0.4998155769343822	0.8690193012003988	0.900322487687113	0.1353652905508457	109.37515476508332	1.0520480375065118	0.12470329227577133	100.76026015882323	0.09395361302542543	0.033899240681048805	27.390586470287435
1	0.0036892237525292	0.0012760872089063735	0.0034592939610076368	-0.002364605304169043	0.002831786300503847	0.4976353946958295	0.8688571900849433	4.0809977294070885	0.2742931654347683	221.62887767129277	3.143995043167913	0.2686991693549299	217.10892883878336	0.1811109753495486	0.03576012622478155	28.89418198962349
2	0.0030419361171364133	0.0025627322659338425	0.0016367388106488523	-1.4039463037462951E-4	0.0030386945697948864	0.4998596053696239	0.8690640983542344	0.2516274172152968	0.03847065378302647	31.08428825668539	0.26057248339866046	0.03255605938951846	26.305295986730915	0.08634698700485974	0.03163665941013765	25.56242080339122
3	0.006182090267083713	0.0025939025132066806	0.005604330611261643	-0.0035769779155724324	0.005042169083031456	0.4964230220844261	0.8710675728674709	0.6281914206424237	0.07077476941048051	57.18601368366825	0.5257694348418653	0.06591544597674388	53.259680349209056	0.08938929930485401	0.032406181996819515	26.18419505343017
4	0.0019465191939729604	7.782514190892709E-4	0.0017834761262476295	-0.0011574069558581424	0.0015650386931435056	0.4988425930441404	0.867590442477583	0.27023527272571757	0.027445678331833947	22.17610809212183	0.2687110293596169	0.020425977752381374	16.50419002392415	0.08520397076904253	0.031276161875835345	25.27113879567496
5	0.001860359543197942	3.653181344498435E-5	0.0018599671160937081	-0.0015934356826760032	9.601564222263548E-4	0.49840656431732255	0.8669855602066658	0.18478921854119612	0.02111145945589505	17.0580592403632	0.17067069625159892	0.015584370363554331	12.5921712537519	0.07975962807385764	0.031065028627250416	25.100543130818338
6	0.0020896026441568675	0.001627299536893334	0.0013097877574033134	-3.229348233110274E-4	0.0020644980771026278	0.49967706517668753	0.8680899018615421	0.22916078413138807	0.031746623680167736	25.651271933575533	0.3268384739978478	0.02486058769284643	20.087354855819914	0.08651671765641011	0.031564970413153044	25.504496093827658
7	0.0021488315036005817	2.3555976138966983E-4	0.0021356300698733843	-0.0017333047738775642	0.0012700910958350908	0.498266695226121	0.8672954948802746	0.23599779998016346	0.030393257965671345	24.557752436262447	0.3615425160547645	0.023295963448244014	18.823138466181163	0.08448218042892644	0.031365764242106735	25.343537507622244
8	0.0022089230881618344	0.0010827831696382795	0.0019242955875864443	-0.0011278274253779808	0.001899301584261881	0.4988721725746206	0.8679247053687014	0.23875076385932226	0.03205150094266671	25.897612761674704	0.36725637713312165	0.025490104123378547	20.596004131689867	0.08124769836433954	0.03151353047554736	25.462932624242267
9	0.0013172137349933754	9.314482173770067E-4	9.309398830865678E-4	-3.414611768968179E-4	0.001272185634381806	0.49965853882310174	0.8672975894188213	0.2054530428782555	0.027030719721471152	21.84082153494869	0.20483330036781777	0.01849693646792282	14.94552466608164	0.07346733131769363	0.030924560588024542	24.98704495512383
